date,is_bank_holiday,day_of_week
2010-01-01,1,Friday
2010-04-02,1,Friday
2010-05-03,1,Monday
2010-05-31,1,Monday
2010-12-25,1,Saturday
2010-12-26,1,Sunday
2010-12-27,1,Monday
2010-12-28,1,Tuesday
2011-01-01,1,Saturday
2011-01-03,1,Monday
2011-04-22,1,Friday
2011-04-29,1,Friday
2011-05-02,1,Monday
2011-05-30,1,Monday
2011-12-25,1,Sunday
2011-12-26,1,Monday
2011-12-27,1,Tuesday
2012-01-01,1,Sunday
2012-01-02,1,Monday
2012-04-06,1,Friday
2012-05-07,1,Monday
2012-06-04,1,Monday
2012-06-05,1,Tuesday
2012-12-25,1,Tuesday
2012-12-26,1,Wednesday
2013-01-01,1,Tuesday
2013-03-29,1,Friday
2013-05-06,1,Monday
2013-05-27,1,Monday
2013-12-25,1,Wednesday
2013-12-26,1,Thursday
2014-01-01,1,Wednesday
2014-04-18,1,Friday
2014-05-05,1,Monday
2014-05-26,1,Monday
2014-12-25,1,Thursday
2014-12-26,1,Friday
2015-01-01,1,Thursday
2015-04-03,1,Friday
2015-05-04,1,Monday
2015-05-25,1,Monday
2015-12-25,1,Friday
2015-12-26,1,Saturday
2015-12-28,1,Monday
2016-01-01,1,Friday
2016-03-25,1,Friday
2016-05-02,1,Monday
2016-05-30,1,Monday
2016-12-25,1,Sunday
2016-12-26,1,Monday
2016-12-27,1,Tuesday
2017-01-01,1,Sunday
2017-01-02,1,Monday
2017-04-14,1,Friday
2017-05-01,1,Monday
2017-05-29,1,Monday
2017-12-25,1,Monday
2017-12-26,1,Tuesday
2018-01-01,1,Monday
2018-03-30,1,Friday
2018-05-07,1,Monday
2018-05-28,1,Monday
2018-12-25,1,Tuesday
2018-12-26,1,Wednesday
2019-01-01,1,Tuesday
2019-04-19,1,Friday
2019-05-06,1,Monday
2019-05-27,1,Monday
2019-12-25,1,Wednesday
2019-12-26,1,Thursday
2020-01-01,1,Wednesday
2020-04-10,1,Friday
2020-05-08,1,Friday
2020-05-25,1,Monday
2020-12-25,1,Friday
2020-12-26,1,Saturday
2020-12-28,1,Monday
