Timestamp,Year,Month,Day,Hour,Day_of_Week,Holiday_Name,Is_Bank_Holiday
2000-01-01,2000,1,1,0,Saturday,New Year's Day,1
2000-01-03,2000,1,3,0,Monday,New Year's Day (observed),1
2000-04-21,2000,4,21,0,Friday,Good Friday,1
2000-05-01,2000,5,1,0,Monday,May Day,1
2000-05-29,2000,5,29,0,Monday,Spring Bank Holiday,1
2000-12-25,2000,12,25,0,Monday,Christmas Day,1
2000-12-26,2000,12,26,0,Tuesday,Boxing Day,1
2001-01-01,2001,1,1,0,Monday,New Year's Day,1
2001-04-13,2001,4,13,0,Friday,Good Friday,1
2001-05-07,2001,5,7,0,Monday,May Day,1
2001-05-28,2001,5,28,0,Monday,Spring Bank Holiday,1
2001-12-25,2001,12,25,0,Tuesday,Christmas Day,1
2001-12-26,2001,12,26,0,Wednesday,Boxing Day,1
2002-01-01,2002,1,1,0,Tuesday,New Year's Day,1
2002-03-29,2002,3,29,0,Friday,Good Friday,1
2002-05-06,2002,5,6,0,Monday,May Day,1
2002-06-03,2002,6,3,0,Monday,Golden Jubilee of Elizabeth II,1
2002-06-04,2002,6,4,0,Tuesday,Spring Bank Holiday,1
2002-12-25,2002,12,25,0,Wednesday,Christmas Day,1
2002-12-26,2002,12,26,0,Thursday,Boxing Day,1
2003-01-01,2003,1,1,0,Wednesday,New Year's Day,1
2003-04-18,2003,4,18,0,Friday,Good Friday,1
2003-05-05,2003,5,5,0,Monday,May Day,1
2003-05-26,2003,5,26,0,Monday,Spring Bank Holiday,1
2003-12-25,2003,12,25,0,Thursday,Christmas Day,1
2003-12-26,2003,12,26,0,Friday,Boxing Day,1
2004-01-01,2004,1,1,0,Thursday,New Year's Day,1
2004-04-09,2004,4,9,0,Friday,Good Friday,1
2004-05-03,2004,5,3,0,Monday,May Day,1
2004-05-31,2004,5,31,0,Monday,Spring Bank Holiday,1
2004-12-25,2004,12,25,0,Saturday,Christmas Day,1
2004-12-26,2004,12,26,0,Sunday,Boxing Day,1
2004-12-27,2004,12,27,0,Monday,Christmas Day (observed),1
2004-12-28,2004,12,28,0,Tuesday,Boxing Day (observed),1
2005-01-01,2005,1,1,0,Saturday,New Year's Day,1
2005-01-03,2005,1,3,0,Monday,New Year's Day (observed),1
2005-03-25,2005,3,25,0,Friday,Good Friday,1
2005-05-02,2005,5,2,0,Monday,May Day,1
2005-05-30,2005,5,30,0,Monday,Spring Bank Holiday,1
2005-12-25,2005,12,25,0,Sunday,Christmas Day,1
2005-12-26,2005,12,26,0,Monday,Boxing Day,1
2005-12-27,2005,12,27,0,Tuesday,Christmas Day (observed),1
2006-01-01,2006,1,1,0,Sunday,New Year's Day,1
2006-01-02,2006,1,2,0,Monday,New Year's Day (observed),1
2006-04-14,2006,4,14,0,Friday,Good Friday,1
2006-05-01,2006,5,1,0,Monday,May Day,1
2006-05-29,2006,5,29,0,Monday,Spring Bank Holiday,1
2006-12-25,2006,12,25,0,Monday,Christmas Day,1
2006-12-26,2006,12,26,0,Tuesday,Boxing Day,1
2007-01-01,2007,1,1,0,Monday,New Year's Day,1
